Epoch 42 - Train Loss: 3.3937 (vdw: 1.1657, elec: 1.0516, solv: 0.0973, hbond: 1.0790) | Validation Loss: 3.8967 (vdw: 1.2732, elec: 1.2261, solv: 0.1102, hbond: 1.2873) | LR: 1.3e-04
Epoch 43 - Train Loss: 3.6004 (vdw: 1.2640, elec: 1.2041, solv: 0.1024, hbond: 1.0299) | Validation Loss: 4.3930 (vdw: 1.3486, elec: 1.1866, solv: 0.1097, hbond: 1.7481) | LR: 1.3e-04
Epoch 44 - Train Loss: 3.6733 (vdw: 1.2066, elec: 1.1221, solv: 0.0989, hbond: 1.2456) | Validation Loss: 5.2907 (vdw: 1.4847, elec: 1.2476, solv: 0.1104, hbond: 2.4480) | LR: 1.3e-04
Epoch 45 - Train Loss: 3.5504 (vdw: 1.2223, elec: 1.1329, solv: 0.0970, hbond: 1.0983) | Validation Loss: 3.9985 (vdw: 1.5753, elec: 1.3160, solv: 0.1097, hbond: 0.9975) | LR: 1.3e-04
Epoch 46 - Train Loss: 3.4546 (vdw: 1.0602, elec: 1.0104, solv: 0.0957, hbond: 1.2883) | Validation Loss: 3.6997 (vdw: 1.6354, elec: 1.3960, solv: 0.1085, hbond: 0.5599) | LR: 1.3e-04
Epoch 47 - Train Loss: 3.2387 (vdw: 1.0472, elec: 1.0037, solv: 0.0966, hbond: 1.0912) | Validation Loss: 3.5679 (vdw: 1.2976, elec: 1.2193, solv: 0.1060, hbond: 0.9450) | LR: 1.3e-04
Epoch 48 - Train Loss: 3.3933 (vdw: 1.1596, elec: 1.0634, solv: 0.0966, hbond: 1.0737) | Validation Loss: 3.7862 (vdw: 1.5353, elec: 1.2570, solv: 0.1049, hbond: 0.8889) | LR: 6.3e-05
Epoch 49 - Train Loss: 3.2497 (vdw: 1.0770, elec: 1.0210, solv: 0.0968, hbond: 1.0548) | Validation Loss: 4.6384 (vdw: 1.7728, elec: 1.2895, solv: 0.1057, hbond: 1.4705) | LR: 6.3e-05
Epoch 50 - Train Loss: 3.2318 (vdw: 1.0624, elec: 1.0479, solv: 0.0971, hbond: 1.0244) | Validation Loss: 3.8863 (vdw: 1.5049, elec: 1.3392, solv: 0.1062, hbond: 0.9360) | LR: 6.3e-05
Epoch 51 - Train Loss: 3.7464 (vdw: 1.1077, elec: 1.0371, solv: 0.0932, hbond: 1.5084) | Validation Loss: 3.9006 (vdw: 1.3568, elec: 1.2851, solv: 0.1088, hbond: 1.1500) | LR: 6.3e-05
Epoch 52 - Train Loss: 3.3756 (vdw: 1.0603, elec: 1.0413, solv: 0.0948, hbond: 1.1792) | Validation Loss: 3.8680 (vdw: 1.4823, elec: 1.2445, solv: 0.1030, hbond: 1.0382) | LR: 6.3e-05
Epoch 53 - Train Loss: 3.4632 (vdw: 0.9425, elec: 0.9889, solv: 0.0933, hbond: 1.4385) | Validation Loss: 3.7483 (vdw: 1.4531, elec: 1.3926, solv: 0.1106, hbond: 0.7920) | LR: 6.3e-05
Epoch 54 - Train Loss: 3.1497 (vdw: 1.1441, elec: 1.0567, solv: 0.0947, hbond: 0.8542) | Validation Loss: 4.0946 (vdw: 1.3150, elec: 1.2565, solv: 0.1130, hbond: 1.4101) | LR: 3.1e-05
Epoch 55 - Train Loss: 3.4376 (vdw: 1.1324, elec: 1.0301, solv: 0.0962, hbond: 1.1789) | Validation Loss: 4.3713 (vdw: 1.5472, elec: 1.3634, solv: 0.1030, hbond: 1.3577) | LR: 3.1e-05
Epoch 56 - Train Loss: 3.4266 (vdw: 1.0679, elec: 1.0295, solv: 0.0940, hbond: 1.2351) | Validation Loss: 3.8911 (vdw: 1.4334, elec: 1.2814, solv: 0.1076, hbond: 1.0687) | LR: 3.1e-05
Epoch 57 - Train Loss: 3.2428 (vdw: 1.1038, elec: 1.0063, solv: 0.0932, hbond: 1.0394) | Validation Loss: 4.1125 (vdw: 1.5324, elec: 1.2139, solv: 0.1066, hbond: 1.2596) | LR: 3.1e-05
Epoch 58 - Train Loss: 3.3155 (vdw: 1.0713, elec: 1.0002, solv: 0.0942, hbond: 1.1499) | Validation Loss: 3.7374 (vdw: 1.3428, elec: 1.2228, solv: 0.1056, hbond: 1.0663) | LR: 3.1e-05
Epoch 59 - Train Loss: 3.2242 (vdw: 1.0976, elec: 1.0427, solv: 0.0924, hbond: 0.9916) | Validation Loss: 3.8350 (vdw: 1.6154, elec: 1.3398, solv: 0.1030, hbond: 0.7768) | LR: 3.1e-05
Epoch 60 - Train Loss: 3.3600 (vdw: 1.0877, elec: 1.0343, solv: 0.0932, hbond: 1.1447) | Validation Loss: 4.2057 (vdw: 1.4482, elec: 1.2950, solv: 0.1117, hbond: 1.3508) | LR: 1.6e-05
Epoch 61 - Train Loss: 3.1685 (vdw: 1.0565, elec: 0.9911, solv: 0.0934, hbond: 1.0275) | Validation Loss: 3.5730 (vdw: 1.2534, elec: 1.2061, solv: 0.1046, hbond: 1.0088) | LR: 1.6e-05
Epoch 62 - Train Loss: 3.6123 (vdw: 1.1504, elec: 1.0308, solv: 0.0960, hbond: 1.3351) | Validation Loss: 3.5555 (vdw: 1.3263, elec: 1.1605, solv: 0.1037, hbond: 0.9651) | LR: 1.6e-05
Epoch 63 - Train Loss: 3.6493 (vdw: 1.1297, elec: 1.0432, solv: 0.0934, hbond: 1.3830) | Validation Loss: 3.7098 (vdw: 1.4687, elec: 1.3020, solv: 0.1088, hbond: 0.8303) | LR: 1.6e-05
Epoch 64 - Train Loss: 3.3212 (vdw: 1.1025, elec: 1.0079, solv: 0.0918, hbond: 1.1190) | Validation Loss: 3.6543 (vdw: 1.4530, elec: 1.2089, solv: 0.1031, hbond: 0.8893) | LR: 1.6e-05
Epoch 65 - Train Loss: 3.2676 (vdw: 1.1348, elec: 1.0791, solv: 0.0957, hbond: 0.9581) | Validation Loss: 4.0363 (vdw: 1.5329, elec: 1.3936, solv: 0.1087, hbond: 1.0011) | LR: 1.6e-05
