Epoch 35 - Train Loss: 1.2487 (enthalpy: 0.6693, entropy: 0.0299, affinity: 0.0474, rank: 0.5020) | Validation Loss: 0.9017 (enthalpy: 0.0410, entropy: 0.0265, affinity: 0.1041, rank: 0.7301) | LR: 2.5e-05
Epoch 36 - Train Loss: 1.1932 (enthalpy: 0.6049, entropy: 0.0308, affinity: 0.0469, rank: 0.5106) | Validation Loss: 0.9096 (enthalpy: 0.0410, entropy: 0.0308, affinity: 0.1031, rank: 0.7347) | LR: 2.5e-05
Epoch 37 - Train Loss: 1.8904 (enthalpy: 1.3155, entropy: 0.0336, affinity: 0.0387, rank: 0.5026) | Validation Loss: 0.9006 (enthalpy: 0.0410, entropy: 0.0312, affinity: 0.1023, rank: 0.7263) | LR: 2.5e-05
Epoch 38 - Train Loss: 1.3241 (enthalpy: 0.7435, entropy: 0.0312, affinity: 0.0335, rank: 0.5159) | Validation Loss: 0.9062 (enthalpy: 0.0409, entropy: 0.0279, affinity: 0.1042, rank: 0.7331) | LR: 2.5e-05
Epoch 39 - Train Loss: 1.5995 (enthalpy: 1.0300, entropy: 0.0288, affinity: 0.0361, rank: 0.5046) | Validation Loss: 0.8730 (enthalpy: 0.0409, entropy: 0.0293, affinity: 0.1050, rank: 0.6979) | LR: 2.5e-05
Epoch 40 - Train Loss: 1.4728 (enthalpy: 0.8828, entropy: 0.0306, affinity: 0.0383, rank: 0.5212) | Validation Loss: 0.9004 (enthalpy: 0.0410, entropy: 0.0293, affinity: 0.1029, rank: 0.7272) | LR: 2.5e-05
Epoch 41 - Train Loss: 1.1437 (enthalpy: 0.6339, entropy: 0.0322, affinity: 0.0334, rank: 0.4443) | Validation Loss: 0.9652 (enthalpy: 0.0412, entropy: 0.0293, affinity: 0.1076, rank: 0.7871) | LR: 2.5e-05
Epoch 42 - Train Loss: 1.1943 (enthalpy: 0.5884, entropy: 0.0310, affinity: 0.0412, rank: 0.5338) | Validation Loss: 0.9194 (enthalpy: 0.0410, entropy: 0.0303, affinity: 0.1037, rank: 0.7443) | LR: 2.5e-05
Epoch 43 - Train Loss: 1.7557 (enthalpy: 1.2498, entropy: 0.0336, affinity: 0.0374, rank: 0.4349) | Validation Loss: 0.9012 (enthalpy: 0.0409, entropy: 0.0305, affinity: 0.1015, rank: 0.7283) | LR: 2.5e-05
Epoch 44 - Train Loss: 1.4598 (enthalpy: 0.9039, entropy: 0.0339, affinity: 0.0356, rank: 0.4864) | Validation Loss: 0.8688 (enthalpy: 0.0410, entropy: 0.0268, affinity: 0.1065, rank: 0.6945) | LR: 2.5e-05
Epoch 45 - Train Loss: 1.4460 (enthalpy: 0.9152, entropy: 0.0340, affinity: 0.0423, rank: 0.4544) | Validation Loss: 0.8714 (enthalpy: 0.0408, entropy: 0.0301, affinity: 0.1018, rank: 0.6987) | LR: 2.5e-05
Epoch 46 - Train Loss: 1.9228 (enthalpy: 1.4093, entropy: 0.0321, affinity: 0.0320, rank: 0.4493) | Validation Loss: 0.9005 (enthalpy: 0.0409, entropy: 0.0276, affinity: 0.1029, rank: 0.7290) | LR: 1.3e-05
Epoch 47 - Train Loss: 1.9767 (enthalpy: 1.4319, entropy: 0.0308, affinity: 0.0302, rank: 0.4838) | Validation Loss: 0.8959 (enthalpy: 0.0411, entropy: 0.0264, affinity: 0.1046, rank: 0.7238) | LR: 1.3e-05
Epoch 48 - Train Loss: 1.1989 (enthalpy: 0.6493, entropy: 0.0316, affinity: 0.0375, rank: 0.4804) | Validation Loss: 0.8947 (enthalpy: 0.0409, entropy: 0.0288, affinity: 0.1002, rank: 0.7248) | LR: 1.3e-05
Epoch 49 - Train Loss: 1.2734 (enthalpy: 0.7335, entropy: 0.0299, affinity: 0.0303, rank: 0.4796) | Validation Loss: 0.8911 (enthalpy: 0.0410, entropy: 0.0266, affinity: 0.1013, rank: 0.7223) | LR: 1.3e-05
Epoch 50 - Train Loss: 1.7794 (enthalpy: 1.2766, entropy: 0.0299, affinity: 0.0377, rank: 0.4353) | Validation Loss: 0.9002 (enthalpy: 0.0410, entropy: 0.0270, affinity: 0.1020, rank: 0.7303) | LR: 1.3e-05
Epoch 51 - Train Loss: 1.7045 (enthalpy: 1.2230, entropy: 0.0322, affinity: 0.0255, rank: 0.4238) | Validation Loss: 0.9115 (enthalpy: 0.0410, entropy: 0.0286, affinity: 0.1012, rank: 0.7407) | LR: 1.3e-05
